date,sales_rep,rep_id,target_value
2021-10-01,Dylan Miller,15,185772.7
2021-10-01,Ethan Adams,23,139032.77
2021-10-01,Gabrielle Davis,9,174951.38
2021-10-01,Gina Moore,8,83334.86
2021-10-01,Holly Wood,17,101897.5
2021-10-01,Jamie Arnold,12,165163.44
2021-10-01,Lisa Hensley,13,216085.29
2021-10-01,Lisa Jackson,19,74731.2
2021-10-01,Margaret Hawkins Dds,21,137227.64
2021-10-01,Matthew Foster,25,82701.41
2021-10-01,Michele Williams,14,56829.92
2021-10-01,Monica Herrera,11,81353.61
2021-10-01,Noah Rhodes,2,97636.42
2021-10-01,Patty Perez,22,246176.28
2021-10-01,Ryan Munoz,10,98175.7
2021-10-01,Tommy Walter,24,77323.28
2021-11-01,Abigail Shaffer,7,88418.04
2021-11-01,Allison Hill,1,59436.02
2021-11-01,Angie Henderson,3,110453.29
2021-11-01,Brian Ramirez,16,137645.27
2021-11-01,Carla Gray,20,84921.37
2021-11-01,Connie Lawrence,6,178279.48
2021-11-01,Cristian Santos,5,90423.08
2021-11-01,Daniel Wagner,4,235080.83
2021-11-01,Derek Zuniga,18,117290.39
2021-11-01,Dylan Miller,15,91900.26
2021-11-01,Ethan Adams,23,85774.19
2021-11-01,Gabrielle Davis,9,392191.8
2021-11-01,Gina Moore,8,144809.91
2021-11-01,Holly Wood,17,58067.03
2021-11-01,Jamie Arnold,12,34533.14
2021-11-01,Lisa Hensley,13,72440.05
2021-11-01,Lisa Jackson,19,118272.15
2021-11-01,Margaret Hawkins Dds,21,153597.17
2021-11-01,Matthew Foster,25,118496.59
2021-11-01,Michele Williams,14,88603.97
2021-11-01,Monica Herrera,11,164287.68
2021-11-01,Noah Rhodes,2,380708.19
2021-11-01,Patty Perez,22,99712.76
2021-11-01,Ryan Munoz,10,123866.74
2021-11-01,Tommy Walter,24,192433.28
2021-12-01,Abigail Shaffer,7,74201.28
2021-12-01,Allison Hill,1,133315.13
2021-12-01,Angie Henderson,3,111944.13
2021-12-01,Brian Ramirez,16,134569.82
2021-12-01,Carla Gray,20,95705.16
2021-12-01,Connie Lawrence,6,72367.99
2021-12-01,Cristian Santos,5,114752.57
2021-12-01,Daniel Wagner,4,141736.65
2021-12-01,Derek Zuniga,18,194609.62
2021-12-01,Dylan Miller,15,181703.7
2021-12-01,Ethan Adams,23,226214.36
2021-12-01,Gabrielle Davis,9,425618.96
2021-12-01,Gina Moore,8,122540.55
2021-12-01,Holly Wood,17,147239.95
2021-12-01,Jamie Arnold,12,164532.37
2021-12-01,Lisa Hensley,13,124755.93
2021-12-01,Lisa Jackson,19,173320.21
2021-12-01,Margaret Hawkins Dds,21,135655.85
2021-12-01,Matthew Foster,25,79129.64
2021-12-01,Michele Williams,14,60091.48
2021-12-01,Monica Herrera,11,177375.92
2021-12-01,Noah Rhodes,2,122737.34
2021-12-01,Patty Perez,22,138428.64
2021-12-01,Ryan Munoz,10,205481.02
2021-12-01,Tommy Walter,24,43505.45
2022-01-01,Abigail Shaffer,7,25390.28
2022-01-01,Allison Hill,1,10717.14
2022-01-01,Angie Henderson,3,22964.73
2022-01-01,Brian Ramirez,16,68110.88
2022-01-01,Carla Gray,20,26348.34
2022-01-01,Connie Lawrence,6,19679.95
2022-01-01,Cristian Santos,5,41996.32
2022-01-01,Daniel Wagner,4,11249.22
2022-01-01,Derek Zuniga,18,101609.12
2022-01-01,Dylan Miller,15,13959.4
2022-01-01,Ethan Adams,23,16981.88
2022-01-01,Gabrielle Davis,9,18306.28
2022-01-01,Gina Moore,8,230494.55
2022-01-01,Holly Wood,17,31224.35
2022-01-01,Jamie Arnold,12,17344.1
2022-01-01,Lisa Hensley,13,32038.13
2022-01-01,Lisa Jackson,19,63738.01
2022-01-01,Margaret Hawkins Dds,21,17241.71
2022-01-01,Matthew Foster,25,55230.9
2022-01-01,Michele Williams,14,57469.07
2022-01-01,Monica Herrera,11,26352.42
2022-01-01,Noah Rhodes,2,12966.7
2022-01-01,Patty Perez,22,19641.43
2022-01-01,Ryan Munoz,10,11815.01
2022-01-01,Tommy Walter,24,88979.83
2022-02-01,Abigail Shaffer,7,145172.77
2022-02-01,Allison Hill,1,96631.88
2022-02-01,Angie Henderson,3,43796.3
2022-02-01,Brian Ramirez,16,119428.93
2022-02-01,Carla Gray,20,26850.16
2022-02-01,Connie Lawrence,6,65033.34
2022-02-01,Cristian Santos,5,99434.39
2022-02-01,Daniel Wagner,4,10654.21
2022-02-01,Derek Zuniga,18,118157.37
2022-02-01,Dylan Miller,15,38916.71
2022-02-01,Ethan Adams,23,20473.38
2022-02-01,Gabrielle Davis,9,14941.8
2022-02-01,Gina Moore,8,65328.09
2022-02-01,Holly Wood,17,191117.04
2022-02-01,Jamie Arnold,12,168730.89
2022-02-01,Lisa Hensley,13,32763.13
2022-02-01,Lisa Jackson,19,78628.22
2022-02-01,Margaret Hawkins Dds,21,70138.93
2022-02-01,Matthew Foster,25,49475.36
2022-02-01,Michele Williams,14,76381.78
2022-02-01,Monica Herrera,11,83332.83
2022-02-01,Noah Rhodes,2,203390.45
2022-02-01,Patty Perez,22,27750.79
2022-02-01,Ryan Munoz,10,81630.07
2022-02-01,Tommy Walter,24,97903.23
2022-03-01,Abigail Shaffer,7,77117.6
2022-03-01,Allison Hill,1,119177.66
2022-03-01,Angie Henderson,3,214588.59
2022-03-01,Brian Ramirez,16,181694.64
2022-03-01,Carla Gray,20,666273.34
2022-03-01,Connie Lawrence,6,159060.78
2022-03-01,Cristian Santos,5,216521.69
2022-03-01,Daniel Wagner,4,234530.58
2022-03-01,Derek Zuniga,18,215932.85
2022-03-01,Dylan Miller,15,172505.61
2022-03-01,Ethan Adams,23,257145.02
2022-03-01,Gabrielle Davis,9,443226.48
2022-03-01,Gina Moore,8,160310.75
2022-03-01,Holly Wood,17,207878.07
2022-03-01,Jamie Arnold,12,119413.06
2022-03-01,Lisa Hensley,13,113427.86
2022-03-01,Lisa Jackson,19,59731.63
2022-03-01,Margaret Hawkins Dds,21,76794.9
2022-03-01,Matthew Foster,25,92818.42
2022-03-01,Michele Williams,14,90995.79
2022-03-01,Monica Herrera,11,165829.0
2022-03-01,Noah Rhodes,2,134242.66
2022-03-01,Patty Perez,22,169844.33
2022-03-01,Ryan Munoz,10,185548.87
2022-03-01,Tommy Walter,24,92493.7
2022-04-01,Abigail Shaffer,7,226389.44
2022-04-01,Allison Hill,1,102904.15
2022-04-01,Angie Henderson,3,169738.32
2022-04-01,Brian Ramirez,16,388241.78
2022-04-01,Carla Gray,20,131978.49
2022-04-01,Connie Lawrence,6,72937.1
2022-04-01,Cristian Santos,5,74865.28
2022-04-01,Daniel Wagner,4,36148.92
2022-04-01,Derek Zuniga,18,185227.28
2022-04-01,Dylan Miller,15,209741.59
2022-04-01,Ethan Adams,23,216699.52
2022-04-01,Gabrielle Davis,9,103268.84
2022-04-01,Gina Moore,8,150401.06
2022-04-01,Holly Wood,17,143817.8
2022-04-01,Jamie Arnold,12,109499.1
2022-04-01,Lisa Hensley,13,129655.73
2022-04-01,Lisa Jackson,19,124923.71
2022-04-01,Margaret Hawkins Dds,21,223647.94
2022-04-01,Matthew Foster,25,216569.82
2022-04-01,Michele Williams,14,127430.82
2022-04-01,Monica Herrera,11,192465.26
2022-04-01,Noah Rhodes,2,100281.17
2022-04-01,Patty Perez,22,81827.96
2022-04-01,Ryan Munoz,10,170309.76
2022-04-01,Tommy Walter,24,89695.57
2022-05-01,Abigail Shaffer,7,73203.87
2022-05-01,Allison Hill,1,194237.71
2022-05-01,Angie Henderson,3,220859.33
2022-05-01,Brian Ramirez,16,180745.17
2022-05-01,Carla Gray,20,257973.47
2022-05-01,Connie Lawrence,6,120012.5
2022-05-01,Cristian Santos,5,99119.58
2022-05-01,Daniel Wagner,4,90258.21
2022-05-01,Derek Zuniga,18,148225.81
2022-05-01,Dylan Miller,15,409100.52
2022-05-01,Ethan Adams,23,112493.65
2022-05-01,Gabrielle Davis,9,192827.7
2022-05-01,Gina Moore,8,244367.99
2022-05-01,Holly Wood,17,210676.75
2022-05-01,Jamie Arnold,12,47559.98
2022-05-01,Lisa Hensley,13,135670.14
2022-05-01,Lisa Jackson,19,210159.28
2022-05-01,Margaret Hawkins Dds,21,147128.97
2022-05-01,Matthew Foster,25,242423.3
2022-05-01,Michele Williams,14,53872.02
2022-05-01,Monica Herrera,11,190223.57
2022-05-01,Noah Rhodes,2,94853.24
2022-05-01,Patty Perez,22,106411.58
2022-05-01,Ryan Munoz,10,320807.64
2022-05-01,Tommy Walter,24,144866.79
2022-06-01,Abigail Shaffer,7,52333.66
2022-06-01,Allison Hill,1,133099.23
2022-06-01,Angie Henderson,3,135983.18
2022-06-01,Brian Ramirez,16,79830.07
2022-06-01,Carla Gray,20,66358.75
2022-06-01,Connie Lawrence,6,112266.56
2022-06-01,Cristian Santos,5,140397.67
2022-06-01,Daniel Wagner,4,68938.68
2022-06-01,Derek Zuniga,18,112132.39
2022-06-01,Dylan Miller,15,124547.88
2022-06-01,Ethan Adams,23,160084.53
2022-06-01,Gabrielle Davis,9,278265.71
2022-06-01,Gina Moore,8,86005.19
2022-06-01,Holly Wood,17,80933.08
2022-06-01,Jamie Arnold,12,341339.56
2022-06-01,Lisa Hensley,13,93222.07
2022-06-01,Lisa Jackson,19,132455.92
2022-06-01,Margaret Hawkins Dds,21,432921.51
2022-06-01,Matthew Foster,25,109889.24
2022-06-01,Michele Williams,14,47390.4
2022-06-01,Monica Herrera,11,106293.62
2022-06-01,Noah Rhodes,2,234170.03
2022-06-01,Patty Perez,22,181698.19
2022-06-01,Ryan Munoz,10,126529.39
2022-06-01,Tommy Walter,24,61512.48
2022-07-01,Abigail Shaffer,7,105561.71
2022-07-01,Allison Hill,1,58086.64
2022-07-01,Angie Henderson,3,123530.91
2022-07-01,Brian Ramirez,16,131464.42
2022-07-01,Carla Gray,20,66003.74
2022-07-01,Connie Lawrence,6,71250.17
2022-07-01,Cristian Santos,5,120707.0
2022-07-01,Daniel Wagner,4,197529.95
2022-07-01,Derek Zuniga,18,259139.4
2022-07-01,Dylan Miller,15,60571.33
2022-07-01,Ethan Adams,23,113500.76
2022-07-01,Gabrielle Davis,9,154510.37
2022-07-01,Gina Moore,8,110465.76
2022-07-01,Holly Wood,17,122674.33
2022-07-01,Jamie Arnold,12,141498.45
2022-07-01,Lisa Hensley,13,145776.22
2022-07-01,Lisa Jackson,19,88954.16
2022-07-01,Margaret Hawkins Dds,21,127120.5
2022-07-01,Matthew Foster,25,249773.57
2022-07-01,Michele Williams,14,66360.24
2022-07-01,Monica Herrera,11,58519.3
2022-07-01,Noah Rhodes,2,178030.5
2022-07-01,Patty Perez,22,45202.03
2022-07-01,Ryan Munoz,10,165349.18
2022-07-01,Tommy Walter,24,323294.61
2022-08-01,Abigail Shaffer,7,72657.02
2022-08-01,Allison Hill,1,114860.67
2022-08-01,Angie Henderson,3,135554.12
2022-08-01,Brian Ramirez,16,226196.16
2022-08-01,Carla Gray,20,188519.04
2022-08-01,Connie Lawrence,6,384604.99
2022-08-01,Cristian Santos,5,55166.71
2022-08-01,Daniel Wagner,4,169897.01
2022-08-01,Derek Zuniga,18,136354.28
2022-08-01,Dylan Miller,15,84793.72
2022-08-01,Ethan Adams,23,45555.97
2022-08-01,Gabrielle Davis,9,115556.49
2022-08-01,Gina Moore,8,90278.71
2022-08-01,Holly Wood,17,77937.97
2022-08-01,Jamie Arnold,12,100892.29
2022-08-01,Lisa Hensley,13,148989.6
2022-08-01,Lisa Jackson,19,125349.81
2022-08-01,Margaret Hawkins Dds,21,132424.58
2022-08-01,Matthew Foster,25,130780.09
2022-08-01,Michele Williams,14,123547.5
2022-08-01,Monica Herrera,11,82243.47
2022-08-01,Noah Rhodes,2,340040.24
2022-08-01,Patty Perez,22,46921.82
2022-08-01,Ryan Munoz,10,129430.35
2022-08-01,Tommy Walter,24,80735.49
2022-09-01,Abigail Shaffer,7,99039.09
2022-09-01,Allison Hill,1,57479.85
2022-09-01,Angie Henderson,3,829841.34
2022-09-01,Brian Ramirez,16,293396.15
2022-09-01,Carla Gray,20,258523.11
2022-09-01,Connie Lawrence,6,173361.63
2022-09-01,Cristian Santos,5,173569.26
2022-09-01,Daniel Wagner,4,192579.85
2022-09-01,Derek Zuniga,18,159429.18
2022-09-01,Dylan Miller,15,199956.97
2022-09-01,Ethan Adams,23,185653.39
2022-09-01,Gabrielle Davis,9,121216.79
2022-09-01,Gina Moore,8,216765.63
2022-09-01,Holly Wood,17,140142.22
2022-09-01,Jamie Arnold,12,325393.48
2022-09-01,Lisa Hensley,13,126762.65
2022-09-01,Lisa Jackson,19,146039.02
2022-09-01,Margaret Hawkins Dds,21,496962.45
2022-09-01,Matthew Foster,25,162647.39
2022-09-01,Michele Williams,14,122316.2
2022-09-01,Monica Herrera,11,249852.9
2022-09-01,Noah Rhodes,2,177518.84
2022-09-01,Patty Perez,22,108655.81
2022-09-01,Ryan Munoz,10,335072.91
2022-09-01,Tommy Walter,24,273995.94
2022-10-01,Abigail Shaffer,7,481312.39
2022-10-01,Allison Hill,1,305223.98
2022-10-01,Angie Henderson,3,145196.92
2022-10-01,Brian Ramirez,16,99735.43
2022-10-01,Carla Gray,20,256001.71
2022-10-01,Connie Lawrence,6,194682.22
2022-10-01,Cristian Santos,5,440958.04
2022-10-01,Daniel Wagner,4,120128.82
2022-10-01,Derek Zuniga,18,119700.41
2022-10-01,Dylan Miller,15,489571.68
2022-10-01,Ethan Adams,23,129128.21
2022-10-01,Gabrielle Davis,9,113712.13
2022-10-01,Gina Moore,8,164773.24
2022-10-01,Holly Wood,17,120761.2
2022-10-01,Jamie Arnold,12,354165.39
2022-10-01,Lisa Hensley,13,213429.77
2022-10-01,Lisa Jackson,19,107407.1
2022-10-01,Margaret Hawkins Dds,21,281833.33
2022-10-01,Matthew Foster,25,62670.58
2022-10-01,Michele Williams,14,224620.11
2022-10-01,Monica Herrera,11,125762.06
2022-10-01,Noah Rhodes,2,92648.41
2022-10-01,Patty Perez,22,111330.26
2022-10-01,Ryan Munoz,10,108625.29
2022-10-01,Tommy Walter,24,119749.18
2022-11-01,Abigail Shaffer,7,62108.68
2022-11-01,Allison Hill,1,152107.98
2022-11-01,Angie Henderson,3,560475.24
2022-11-01,Brian Ramirez,16,235936.63
2022-11-01,Carla Gray,20,191505.62
2022-11-01,Connie Lawrence,6,316038.75
2022-11-01,Cristian Santos,5,276830.62
2022-11-01,Daniel Wagner,4,302617.34
2022-11-01,Derek Zuniga,18,550452.35
2022-11-01,Dylan Miller,15,507690.27
2022-11-01,Ethan Adams,23,137395.03
2022-11-01,Gabrielle Davis,9,86650.37
2022-11-01,Gina Moore,8,220659.12
2022-11-01,Holly Wood,17,466236.6
2022-11-01,Jamie Arnold,12,233951.29
2022-11-01,Lisa Hensley,13,249215.62
2022-11-01,Lisa Jackson,19,206028.73
2022-11-01,Margaret Hawkins Dds,21,122886.73
2022-11-01,Matthew Foster,25,69771.47
2022-11-01,Michele Williams,14,108421.59
2022-11-01,Monica Herrera,11,201617.0
2022-11-01,Noah Rhodes,2,707239.46
2022-11-01,Patty Perez,22,185758.26
2022-11-01,Ryan Munoz,10,267678.42
2022-11-01,Tommy Walter,24,281093.2
2022-12-01,Abigail Shaffer,7,49755.51
2022-12-01,Allison Hill,1,48249.46
2022-12-01,Angie Henderson,3,236463.9
2022-12-01,Brian Ramirez,16,218299.43
2022-12-01,Carla Gray,20,35004.74
2022-12-01,Connie Lawrence,6,46247.41
2022-12-01,Cristian Santos,5,80185.46
2022-12-01,Daniel Wagner,4,70350.78
2022-12-01,Derek Zuniga,18,69375.55
2022-12-01,Dylan Miller,15,120796.29
2022-12-01,Ethan Adams,23,60214.06
2022-12-01,Gabrielle Davis,9,76695.79
2022-12-01,Gina Moore,8,125422.62
2022-12-01,Holly Wood,17,73626.55
2022-12-01,Jamie Arnold,12,102740.98
2022-12-01,Lisa Hensley,13,120468.74
2022-12-01,Lisa Jackson,19,20367.35
2022-12-01,Margaret Hawkins Dds,21,139981.52
2022-12-01,Matthew Foster,25,125275.96
2022-12-01,Michele Williams,14,87657.29
2022-12-01,Monica Herrera,11,90119.06
2022-12-01,Noah Rhodes,2,126482.39
2022-12-01,Patty Perez,22,87614.33
2022-12-01,Ryan Munoz,10,124615.67
2022-12-01,Tommy Walter,24,63011.45
2023-01-01,Abigail Shaffer,7,60565.39
2023-01-01,Allison Hill,1,201664.8
2023-01-01,Angie Henderson,3,51446.96
2023-01-01,Brian Ramirez,16,70124.41
2023-01-01,Carla Gray,20,99788.64
2023-01-01,Connie Lawrence,6,21044.71
2023-01-01,Cristian Santos,5,32232.12
2023-01-01,Daniel Wagner,4,45795.43
2023-01-01,Derek Zuniga,18,54720.72
2023-01-01,Dylan Miller,15,46733.04
2023-01-01,Ethan Adams,23,123568.68
2023-01-01,Gabrielle Davis,9,28956.87
2023-01-01,Gina Moore,8,153816.19
2023-01-01,Holly Wood,17,80624.44
2023-01-01,Jamie Arnold,12,78370.85
2023-01-01,Lisa Hensley,13,36087.27
2023-01-01,Lisa Jackson,19,82745.43
2023-01-01,Margaret Hawkins Dds,21,89513.82
2023-01-01,Matthew Foster,25,160605.73
2023-01-01,Michele Williams,14,29536.23
2023-01-01,Monica Herrera,11,75369.98
2023-01-01,Noah Rhodes,2,114396.06
2023-01-01,Patty Perez,22,28500.65
2023-01-01,Ryan Munoz,10,79411.4
2023-01-01,Tommy Walter,24,119436.41
2023-02-01,Abigail Shaffer,7,30288.57
2023-02-01,Allison Hill,1,191776.97
2023-02-01,Angie Henderson,3,18070.07
2023-02-01,Brian Ramirez,16,458685.78
2023-02-01,Carla Gray,20,44875.1
2023-02-01,Connie Lawrence,6,67312.3
2023-02-01,Cristian Santos,5,353413.6
2023-02-01,Daniel Wagner,4,79804.52
2023-02-01,Derek Zuniga,18,54023.45
2023-02-01,Dylan Miller,15,113192.72
2023-02-01,Ethan Adams,23,45605.31
2023-02-01,Gabrielle Davis,9,72405.61
2023-02-01,Gina Moore,8,125673.43
2023-02-01,Holly Wood,17,30328.69
2023-02-01,Jamie Arnold,12,195703.61
2023-02-01,Lisa Hensley,13,33040.09
2023-02-01,Lisa Jackson,19,35923.35
2023-02-01,Margaret Hawkins Dds,21,126931.07
2023-02-01,Matthew Foster,25,32474.07
2023-02-01,Michele Williams,14,137396.2
2023-02-01,Monica Herrera,11,198762.26
2023-02-01,Noah Rhodes,2,63289.84
2023-02-01,Patty Perez,22,127332.33
2023-02-01,Ryan Munoz,10,30997.62
2023-02-01,Tommy Walter,24,74972.78
2023-03-01,Abigail Shaffer,7,58521.85
2023-03-01,Allison Hill,1,151817.22
2023-03-01,Angie Henderson,3,95184.5
2023-03-01,Brian Ramirez,16,111492.23
2023-03-01,Carla Gray,20,100710.12
2023-03-01,Connie Lawrence,6,325270.61
2023-03-01,Cristian Santos,5,39746.61
2023-03-01,Daniel Wagner,4,50515.01
2023-03-01,Derek Zuniga,18,60383.82
2023-03-01,Dylan Miller,15,101736.81
2023-03-01,Ethan Adams,23,101792.59
2023-03-01,Gabrielle Davis,9,84831.65
2023-03-01,Gina Moore,8,148238.13
2023-03-01,Holly Wood,17,138002.15
2023-03-01,Jamie Arnold,12,55118.92
2023-03-01,Lisa Hensley,13,87022.25
2023-03-01,Lisa Jackson,19,46443.3
2023-03-01,Margaret Hawkins Dds,21,134197.57
2023-03-01,Matthew Foster,25,140222.07
2023-03-01,Michele Williams,14,178390.12
2023-03-01,Monica Herrera,11,59423.7
2023-03-01,Noah Rhodes,2,252827.82
2023-03-01,Patty Perez,22,136356.59
2023-03-01,Ryan Munoz,10,110907.86
2023-03-01,Tommy Walter,24,48807.93
2023-04-01,Abigail Shaffer,7,196937.73
2023-04-01,Allison Hill,1,60182.6
2023-04-01,Angie Henderson,3,308437.36
2023-04-01,Brian Ramirez,16,108778.78
2023-04-01,Carla Gray,20,68144.72
2023-04-01,Connie Lawrence,6,192852.87
2023-04-01,Cristian Santos,5,131689.61
2023-04-01,Daniel Wagner,4,108753.69
2023-04-01,Derek Zuniga,18,305351.59
2023-04-01,Dylan Miller,15,149297.02
2023-04-01,Ethan Adams,23,63335.57
2023-04-01,Gabrielle Davis,9,265697.39
2023-04-01,Gina Moore,8,77460.45
2023-04-01,Holly Wood,17,229486.51
2023-04-01,Jamie Arnold,12,208952.08
2023-04-01,Lisa Hensley,13,127927.44
2023-04-01,Lisa Jackson,19,187871.78
2023-04-01,Margaret Hawkins Dds,21,259590.55
2023-04-01,Matthew Foster,25,116268.82
2023-04-01,Michele Williams,14,147384.01
2023-04-01,Monica Herrera,11,181026.98
2023-04-01,Noah Rhodes,2,189128.36
2023-04-01,Patty Perez,22,317751.35
2023-04-01,Ryan Munoz,10,162358.26
2023-04-01,Tommy Walter,24,352335.83
2023-05-01,Abigail Shaffer,7,92187.27
2023-05-01,Allison Hill,1,105883.26
2023-05-01,Angie Henderson,3,95498.14
2023-05-01,Brian Ramirez,16,112366.1
2023-05-01,Carla Gray,20,592171.14
2023-05-01,Connie Lawrence,6,140328.25
2023-05-01,Cristian Santos,5,146737.34
2023-05-01,Daniel Wagner,4,101129.69
2023-05-01,Derek Zuniga,18,120227.28
2023-05-01,Dylan Miller,15,112873.75
2023-05-01,Ethan Adams,23,138157.13
2023-05-01,Gabrielle Davis,9,84683.1
2023-05-01,Gina Moore,8,146318.31
2023-05-01,Holly Wood,17,117618.07
2023-05-01,Jamie Arnold,12,195177.24
2023-05-01,Lisa Hensley,13,291085.78
2023-05-01,Lisa Jackson,19,153087.18
2023-05-01,Margaret Hawkins Dds,21,60049.79
2023-05-01,Matthew Foster,25,180889.33
2023-05-01,Michele Williams,14,136430.3
2023-05-01,Monica Herrera,11,185005.89
2023-05-01,Noah Rhodes,2,152162.44
2023-05-01,Patty Perez,22,247862.87
2023-05-01,Ryan Munoz,10,174037.62
2023-05-01,Tommy Walter,24,102835.93
2023-06-01,Abigail Shaffer,7,113812.33
2023-06-01,Allison Hill,1,26471.41
2023-06-01,Angie Henderson,3,173603.93
2023-06-01,Brian Ramirez,16,52203.01
2023-06-01,Carla Gray,20,129304.28
2023-06-01,Connie Lawrence,6,17494.37
2023-06-01,Cristian Santos,5,32465.81
2023-06-01,Daniel Wagner,4,117808.08
2023-06-01,Derek Zuniga,18,16381.12
2023-06-01,Dylan Miller,15,101413.28
2023-06-01,Ethan Adams,23,151247.19
2023-06-01,Gabrielle Davis,9,75320.64
2023-06-01,Gina Moore,8,62110.4
2023-06-01,Holly Wood,17,24329.28
2023-06-01,Jamie Arnold,12,225706.68
2023-06-01,Lisa Hensley,13,39748.2
2023-06-01,Lisa Jackson,19,81599.79
2023-06-01,Margaret Hawkins Dds,21,109847.73
2023-06-01,Matthew Foster,25,315880.66
2023-06-01,Michele Williams,14,74843.14
2023-06-01,Monica Herrera,11,85357.85
2023-06-01,Noah Rhodes,2,53770.02
2023-06-01,Patty Perez,22,24335.29
2023-06-01,Ryan Munoz,10,181875.41
2023-06-01,Tommy Walter,24,26600.38
2023-07-01,Abigail Shaffer,7,108772.29
2023-07-01,Allison Hill,1,33785.11
2023-07-01,Angie Henderson,3,138554.93
2023-07-01,Brian Ramirez,16,144564.2
2023-07-01,Carla Gray,20,44394.36
2023-07-01,Connie Lawrence,6,69669.33
2023-07-01,Cristian Santos,5,146098.4
2023-07-01,Daniel Wagner,4,54160.86
2023-07-01,Derek Zuniga,18,68957.03
2023-07-01,Dylan Miller,15,39276.37
2023-07-01,Ethan Adams,23,116440.84
2023-07-01,Gabrielle Davis,9,47937.05
2023-07-01,Gina Moore,8,78001.62
2023-07-01,Holly Wood,17,65277.19
2023-07-01,Jamie Arnold,12,72753.9
2023-07-01,Lisa Hensley,13,61794.17
2023-07-01,Lisa Jackson,19,166440.48
2023-07-01,Margaret Hawkins Dds,21,68679.58
2023-07-01,Matthew Foster,25,71611.72
2023-07-01,Michele Williams,14,55544.01
2023-07-01,Monica Herrera,11,200103.5
2023-07-01,Noah Rhodes,2,24118.82
2023-07-01,Patty Perez,22,51883.61
2023-07-01,Ryan Munoz,10,72628.01
2023-07-01,Tommy Walter,24,37200.1
2023-08-01,Abigail Shaffer,7,69652.09
2023-08-01,Allison Hill,1,122472.82
2023-08-01,Angie Henderson,3,64625.75
2023-08-01,Brian Ramirez,16,85491.81
2023-08-01,Carla Gray,20,115326.89
2023-08-01,Connie Lawrence,6,131262.78
2023-08-01,Cristian Santos,5,97035.11
2023-08-01,Daniel Wagner,4,47108.66
2023-08-01,Derek Zuniga,18,51498.15
2023-08-01,Dylan Miller,15,110316.28
2023-08-01,Ethan Adams,23,101750.64
2023-08-01,Gabrielle Davis,9,49252.6
2023-08-01,Gina Moore,8,96333.03
2023-08-01,Holly Wood,17,37981.32
2023-08-01,Jamie Arnold,12,97850.97
2023-08-01,Lisa Hensley,13,66629.93
2023-08-01,Lisa Jackson,19,197141.92
2023-08-01,Margaret Hawkins Dds,21,65168.49
2023-08-01,Matthew Foster,25,43251.7
2023-08-01,Michele Williams,14,489805.54
2023-08-01,Monica Herrera,11,49141.65
